ident,timestamp,heartrate
1,10,106
1,11,110
1,12,100
1,13,106
1,14,100
1,15,108
1,16,110
1,17,105
1,18,106
1,19,102
1,20,107
1,21,100
1,22,105
1,23,105
1,24,101
1,25,102
1,26,102
1,27,101
1,28,105
1,29,111
1,30,105
1,31,109
1,32,115
1,33,129
1,34,103
1,35,112
1,36,139
1,37,132
1,38,107
1,39,131
1,40,103
1,41,139
1,42,129
1,43,142
1,44,132
1,45,101
1,46,107
1,47,119
1,48,113
1,49,111
1,50,100
1,51,111
1,52,109
1,53,110
1,54,101
1,55,102
1,56,110
1,57,111
1,58,104
1,59,109
1,60,103
1,61,101
1,62,104
1,63,104
1,64,102
1,65,101
1,66,107
1,67,101
1,68,107
1,69,108
1,70,102
1,71,100
1,72,106
1,73,100
1,74,100
1,75,105
1,76,101
1,77,104
1,78,103
1,79,108
1,80,108
1,81,106
1,82,103
1,83,108
1,84,108
1,85,107
1,86,104
1,87,103
1,88,103
1,89,108
1,90,100
1,91,101
1,92,106
1,93,100
1,94,110
1,95,100
1,96,106
1,97,100
1,98,110
1,99,101
