ident,timestamp,heartrate
2,10,107
2,11,110
2,12,110
2,13,110
2,14,109
2,15,102
2,16,103
2,17,104
2,18,102
2,19,102
2,20,105
2,21,102
2,22,100
2,23,106
2,24,100
2,25,106
2,26,110
2,27,105
2,28,106
2,29,112
2,30,117
2,31,108
2,32,119
2,33,109
2,34,105
2,35,128
2,36,110
2,37,118
2,38,104
2,39,118
2,40,123
2,41,101
2,42,117
2,43,140
2,44,112
2,45,127
2,46,122
2,47,106
2,48,112
2,49,111
2,50,104
2,51,104
2,52,107
2,53,112
2,54,112
2,55,111
2,56,104
2,57,102
2,58,105
2,59,107
2,60,104
2,61,100
2,62,105
2,63,103
2,64,104
2,65,104
2,66,103
2,67,108
2,68,108
2,69,110
2,70,101
2,71,105
2,72,103
2,73,104
2,74,108
2,75,108
2,76,101
2,77,106
2,78,108
2,79,110
2,80,107
2,81,101
2,82,102
2,83,104
2,84,108
2,85,105
2,86,110
2,87,108
2,88,100
2,89,110
2,90,106
2,91,101
2,92,101
2,93,110
2,94,104
2,95,101
2,96,101
2,97,104
2,98,102
2,99,104
