ident,timestamp,heartrate
3,10,109
3,11,106
3,12,109
3,13,110
3,14,100
3,15,100
3,16,102
3,17,107
3,18,101
3,19,109
3,20,103
3,21,103
3,22,101
3,23,104
3,24,108
3,25,109
3,26,104
3,27,111
3,28,104
3,29,114
3,30,111
3,31,121
3,32,124
3,33,102
3,34,105
3,35,122
3,36,126
3,37,105
3,38,131
3,39,123
3,40,135
3,41,140
3,42,112
3,43,128
3,44,141
3,45,117
3,46,106
3,47,128
3,48,111
3,49,114
3,50,120
3,51,118
3,52,106
3,53,111
3,54,112
3,55,105
3,56,101
3,57,111
3,58,102
3,59,105
3,60,108
3,61,104
3,62,105
3,63,104
3,64,108
3,65,103
3,66,109
3,67,109
3,68,103
3,69,110
3,70,102
3,71,108
3,72,101
3,73,103
3,74,100
3,75,101
3,76,106
3,77,100
3,78,103
3,79,100
3,80,105
3,81,102
3,82,100
3,83,103
3,84,110
3,85,109
3,86,107
3,87,103
3,88,110
3,89,110
3,90,100
3,91,102
3,92,109
3,93,108
3,94,108
3,95,101
3,96,104
3,97,105
3,98,100
3,99,105
