ident,timestamp,heartrate
5,10,106
5,11,106
5,12,104
5,13,109
5,14,107
5,15,105
5,16,105
5,17,107
5,18,106
5,19,101
5,20,100
5,21,107
5,22,103
5,23,106
5,24,111
5,25,111
5,26,105
5,27,102
5,28,107
5,29,116
5,30,121
5,31,123
5,32,104
5,33,107
5,34,119
5,35,101
5,36,124
5,37,105
5,38,140
5,39,138
5,40,142
5,41,109
5,42,113
5,43,109
5,44,107
5,45,121
5,46,126
5,47,117
5,48,124
5,49,114
5,50,116
5,51,117
5,52,113
5,53,109
5,54,103
5,55,103
5,56,110
5,57,100
5,58,108
5,59,107
5,60,106
5,61,110
5,62,101
5,63,103
5,64,103
5,65,101
5,66,104
5,67,106
5,68,110
5,69,106
5,70,107
5,71,108
5,72,109
5,73,108
5,74,106
5,75,104
5,76,102
5,77,107
5,78,108
5,79,110
5,80,109
5,81,105
5,82,103
5,83,103
5,84,103
5,85,105
5,86,100
5,87,100
5,88,103
5,89,100
5,90,101
5,91,110
5,92,109
5,93,103
5,94,100
5,95,100
5,96,107
5,97,101
5,98,100
5,99,101
